Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,pi1,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,pi11,pi12,pi13,pi14
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative-Uganda,,5/11/2022,1,1,Uganda,0.0,External Subaward,8/17/2022,,,,,,,,,,,,,
POR-22-10005: Pilot on Strengthening Whole Child Development (Kenya and Uganda),Porticus,Grant Award,Researcher Diversification Initiative - Global,,3/2/2022,1,1,,0.0,Allocation,11/1/2022,,,,,,,,,,,,,
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Nigeria),Lauren Young,9/28/2015,1,1,,1.0,External Subaward,4/9/2018,Graeme Blair,Rebecca Littman,Andres Moya,Vivian Khedari DePierro,Hannah Baron,Elayne Stecher,Sandra Ley,Mohammed Bukar,,,,,
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Mexico),Lauren Young,9/28/2015,1,1,,0.0,External Subaward,4/9/2018,Graeme Blair,Rebecca Littman,Andres Moya,Sandra Ley,Vivian Khedari DePierro,Hannah Baron,Elayne Stecher,Mohammed Bukar,,,,,
USA-22-10014: Social Incentives for Childhood Immunization (Sierra Leone),United States Agency for International Development (USAID),Grant Award,Social Incentives for Childhood Immunization (SICI) - Path to Scale,Shana Warren,11/25/2021,1,1,Sierra Leone,0.0,Allocation,9/13/2022,Mattie Toma,Anne Karing,Juliette Finetti,Desmond Maada Kangbai,,,,,,,,,
EGF-20-10004 - Echidna ECE Integrated Programming in Ghana 2,The Echidna Giving Fund,Grant Award,Ghana ECE policy implementation,,2/28/2020,1,1,Ghana,0.0,Allocation,2/28/2020,,,,,,,,,,,,,
GFF-20-10001 - Gender Initiative - Gaudio Family Foundation,The Gaudio Family Foundation,Grant Award,Ghana gender policy,,9/15/2020,1,1,Ghana,0.0,Allocation,9/15/2020,,,,,,,,,,,,,
GFF-20-10001 - Gender Initiative - Gaudio Family Foundation,The Gaudio Family Foundation,Grant Award,Uganda gender policy,,9/15/2020,1,1,Uganda,0.0,Allocation,9/15/2020,,,,,,,,,,,,,
MAR-21-10003 Integrated evidence-informed partnerships with four ministries of education,"Douglas B. Marshall, Jr. Family Foundation",Grant Award,Embedded Evidence Lab - Zambia Education,,10/9/2020,1,1,Zambia,0.0,Allocation,1/1/2021,,,,,,,,,,,,,
"TGRF-21-10001, Integrated evidence-informed partnerships with four ministries of education, Ghana, Peru, Rwanda, Zambia",Three Graces Foundation,Grant Award,Embedded Evidence Lab - Peru Education,,9/9/2021,1,1,Peru,0.0,Allocation,9/9/2021,,,,,,,,,,,,,
JCF-22-10007: Supporting the Development of an Ed Lab (Cote d'Ivoire),Jacobs Foundation,Grant Award,Embedded Evidence Lab - Côte d'Ivoire Education,,10/15/2021,1,1,Francophone West Africa,0.0,Allocation,3/18/2022,,,,,,,,,,,,,
PEMS for One Health Liberia,University of Georgia,Grant Proposal,One Health Liberia,Nate Hansen,6/2/2022,0,1,Sierra Leone,0.0,Allocation,6/2/2022,,,,,,,,,,,,,
USDOS-22-10002: NAPTIP (Nigeria) & HTRI Embedded Lab - PEMS NOFO,United States Department of State,Grant Award,NAPTIP & HTRI Embedded Lab (Nigeria),Bernd Beber,3/10/2022,1,1,Nigeria,0.0,Allocation,9/27/2022,Cecilia Mo,Alexandra Scacco,Rachel Steinacher,Prince Agwu,,,,,,,,,
NG Cares Refind,"Institute of Statistical, Social and Economic Research (ISSER)",Grant Proposal,NG Cares Evaluation,,3/31/2023,0,1,Nigeria,0.0,Allocation,3/31/2023,Laura Chioda,,,,,,,,,,,,
COVID-19 Vaccine Misinformation,The Mercury Project,Grant Proposal,COVID-19 Vaccine Misinformation,,3/31/2022,0,1,Nigeria,0.0,Allocation,3/31/2022,,,,,,,,,,,,,
ThinkMD-23-10001: ThinkMD (USAID DIV) - Tech Health Diagnosis and Treatment (Nigeria),ThinkMD,Grant Award,ThinkMD - Increasing Health Worker Skills with Technology,Anja Sautmann,5/31/2022,1,1,,0.0,External Subaward,5/4/2023,,,,,,,,,,,,,
BMG-21-10009_ Monitoring the Real Cost of Domestic Payments (Transaction Cost Index),Gates Foundation,Grant Award,ReFind - Copy Editor,,10/12/2021,1,1,Ghana,0.0,Allocation,11/11/2021,,,,,,,,,,,,,
UCSF Family Planning Project,"University of California, Los Angeles",Grant Proposal,Improving FP counseling and Follow-up Project,Beth Phillips,5/25/2022,0,1,Kenya,0.0,Allocation,5/25/2022,Kelsey Holt,Jenny Liu,,,,,,,,,,,
Digital Financial Inclusion: Building Resilience Against Scams,University of Essex,Grant Proposal,RCT on Phone Scams in Kenya,,8/19/2022,0,1,Kenya,0.0,Allocation,8/19/2022,Lisa Spantig,Elif Kubilay,,,,,,,,,,,
MAR-21-10003 Integrated evidence-informed partnerships with four ministries of education,"Douglas B. Marshall, Jr. Family Foundation",Grant Award,Global education policy,,10/9/2020,1,1,,0.0,Allocation,1/1/2021,,,,,,,,,,,,,
GFF-20-10001 - Gender Initiative - Gaudio Family Foundation,The Gaudio Family Foundation,Grant Award,Global gender policy,,9/15/2020,1,1,,0.0,Allocation,9/15/2020,,,,,,,,,,,,,
NIL-19-10001: Moving Evidence to Impact (United States),Henry E. Niles Foundation,Grant Award,Global evidence to policy,,12/4/2018,1,1,,0.0,Allocation,1/23/2019,,,,,,,,,,,,,
BMG-20-10004: Social Protection Research Translation for COVID Response(United States),Gates Foundation,Grant Award,Philanthropic Partnerships,,8/7/2020,1,1,,0.0,Allocation,8/31/2020,,,,,,,,,,,,,
mc2h-22-10001: mc2h MEL framework - ECE in Ghana,mc2h foundation,Grant Award,mc2h MEL framework - ECE,,5/30/2022,1,1,Ghana,0.0,Allocation,7/19/2022,,,,,,,,,,,,,
WB HH Survey for IPs in the Philippines,World Bank,Grant Proposal,Household Survey for Indigenous Peoples in the Philippines,,7/14/2022,0,1,Philippines,0.0,Allocation,7/14/2022,,,,,,,,,,,,,
PRI-22-10011: Healthcare Workers (Peru),Princeton University,Grant Award,Healthcare Workers in Peru,Mariel Bedoya,6/15/2022,1,1,Peru,0.0,Allocation,7/26/2022,Patrick Agte,,,,,,,,,,,,
NORC-23-10002: Civil Justice Model - Qualitative Component (Mexico),NORC at the University of Chicago,Grant Award,Qualitative Analysis of the Implementation of the Civic Justice Model - Mexico,Rodrigo Canales,6/13/2022,1,1,Mexico,0.0,Allocation,1/4/2023,,,,,,,,,,,,,
Study of Childcare Availability in the Philippines,World Bank,Grant Proposal,Study of Childcare Availability,,6/17/2022,0,1,Philippines,0.0,Allocation,6/17/2022,,,,,,,,,,,,,
SLO-20-10001 - Sloan Foundation Research Methods Competitive Fund (United States),Alfred P. Sloan Foundation,Grant Award,MRP to Improve Sampling and Generalizability in Field Experiments,Raymond Duch,10/15/2020,1,1,Ghana,1.0,External Subaward,11/13/2020,,,,,,,,,,,,,
bOn-22-10001: buildOn Learning Agenda (RFE)(Haiti),buildOn,Grant Award,buildOn Learning Agenda (RFE),,2/18/2022,1,1,United States,0.0,Allocation,8/5/2022,,,,,,,,,,,,,
Play-based Early Childhood & Inclusion Education - Kenya,Columbia University,Grant Proposal,Build a world of play-Kenya,Portia Williams,5/11/2022,0,1,Kenya,0.0,Allocation,5/11/2022,,,,,,,,,,,,,
IDB-22-10049: IDB - Diagnósticos Territoriales DPS (Colombia),Inter-American Development Bank (IDB),Grant Award,Diagnósticos Territoriales (DT),Tara Slough,8/5/2022,1,1,Colombia,0.0,Allocation,10/4/2022,,,,,,,,,,,,,
CNHF-22-10003 Hilton - Venezuelan migration initiative (Colombia),Conrad N. Hilton Foundation,Grant Award,Venezuelan Migration Initiative (VMI),Felipe Barrera-Osorio,6/24/2022,1,1,Colombia,0.0,Allocation,6/24/2022,Diana Quintero,Joao Tampellini,,,,,,,,,,,
MIT-22-20087 - GEA Award for Gender Norms Study (Colombia),Massachusetts Institute of Technology (MIT),Grant Award,Gender Norms in Labor in Colombia (GNLC),Luz Magdalena Salas,6/24/2022,1,1,Colombia,0.0,Allocation,1/19/2023,Marie Boltz,Ana Maria Diaz Escobar,,,,,,,,,,,
Solar Cities Tanzania,Solar Sister East Africa,Grant Proposal,Solar Cities Tanzania,,5/15/2022,0,1,Tanzania,0.0,Allocation,5/15/2022,,,,,,,,,,,,,
UCAT-22-20058: JPAL DigiFI Policy staff in Kenya,University of Cape Town,Grant Award,JPAL DigiFI Policy staff in Kenya Project,,7/14/2022,1,1,Kenya,0.0,Allocation,11/1/2022,,,,,,,,,,,,,
MoEB-23-10001 STEAM Laboratory School- Belize (Peru),Ministry of Education of Belize,Grant Award,STEAM Laboratory School Belize,Emma Ingrid Naslund-Hadley,7/1/2022,1,1,LAC-Other,0.0,Allocation,5/4/2023,Juan Manuel Hernández-Agramonte,,,,,,,,,,,,
WEL3233 - IPV Initiative Phase 2 ? Expanding the Evidence Base and Advancing Pilots Along the Path to Scale.,Wellspring Philanthropic Fund,Grant Award,What happens when cash transfers suddenly end? IPV,,2/13/2018,1,1,,1.0,Allocation,6/18/2018,,,,,,,,,,,,,
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,GFEMS (India),Manisha Shah,9/1/2020,1,1,,1.0,External Subaward,9/1/2020,,,,,,,,,,,,,
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,Eleison Foundation (Philippines),Laura Cordisco Tsai,9/1/2020,1,1,,1.0,External Subaward,9/1/2020,,,,,,,,,,,,,
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,UC Berkeley (Kenya),,9/1/2020,1,1,Kenya,1.0,External Subaward,9/1/2020,,,,,,,,,,,,,
WEL3233 - IPV Initiative Phase 2 ? Expanding the Evidence Base and Advancing Pilots Along the Path to Scale.,Wellspring Philanthropic Fund,Grant Award,Nigeria National Social Safety Nets Program Livelihood Pilot on IPV,,2/13/2018,1,1,Nigeria,1.0,External Subaward,6/18/2018,,,,,,,,,,,,,
NWU-22-10020: SurveyCTO Subscription for GSPS managed directly by Northwestern (Ghana),Northwestern University,Grant Award,Ghana Socioeconomic Panel Survey (GSPS) ? managed directly by NorthWestern,,9/1/2021,1,1,Ghana,0.0,Allocation,8/2/2022,,,,,,,,,,,,,
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,Path to Scale Research Team,,5/15/2018,1,1,,0.0,Allocation,7/26/2018,,,,,,,,,,,,,
UB-23-10001: Leveraging Early Adolescence for Development: Longitudinal and Experimental Evidence from Ghana,"The University of Barcelona, Spain",Grant Award,Leveraging Early Adolescence for Development,Sharon Wolf,4/8/2021,1,1,Ghana,1.0,Allocation,5/23/2023,Elisabetta Aurino,,,,,,,,,,,,
WEL-21-10013 - Impact Fund and Scaling Evidence Use Program (Multiple Countries),Wellspring Philanthropic Fund,Grant Award,CDI Impact Evaluation Law,,7/6/2021,1,1,Francophone West Africa,0.0,Allocation,10/7/2021,,,,,,,,,,,,,
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Nigeria Evidence Use,,5/11/2022,1,1,Nigeria,0.0,Allocation,8/17/2022,,,,,,,,,,,,,
Movies and Mobiles Trial Follow-Up,World Bank,Grant Proposal,Movies and Mobiles Trial Follow-Up,,8/30/2022,0,1,Nigeria,0.0,Allocation,8/30/2022,,,,,,,,,,,,,
IDB-22-10051: Consultancy Experimental Evaluation ECD -IDB (Mexico),Inter-American Development Bank (IDB),Grant Award,Experimental Evaluation ECD,Juan Manuel Hernández-Agramonte,7/27/2022,1,1,Mexico,0.0,Allocation,10/24/2022,Emma Ingrid Naslund-Hadley,,,,,,,,,,,,
Police Athletic League (PAL) Program Evaluation and Outcomes Study for El Salvador,Bureau of International Narcotics and Law Enforcement Affairs,Grant Proposal,Police Athletic League El Salvador Evaluation,Eduardo Montero,7/11/2022,0,1,Mexico,0.0,Allocation,7/11/2022,,,,,,,,,,,,,
MAKINGC-23-10001 - Violence Prevention Interventions for Children: A Review of the Evidence and Case Study (Mexico),Making Cents International,Grant Award,Violence Prevention Interventions for Children,Emma Ingrid Naslund-Hadley,7/20/2022,1,1,Mexico,0.0,Allocation,1/23/2023,,,,,,,,,,,,,
Anticipatory Action,International Development Research Centre (IDRC),Grant Proposal,Anticipatory Action,,6/8/2022,0,1,Nigeria,0.0,Allocation,6/8/2022,,,,,,,,,,,,,
WBK-22-20156: Cash Transfers Evidence Briefs,World Bank,Grant Award,Cash Transfers Evidence Briefs,,7/14/2022,1,1,,0.0,Allocation,8/24/2022,,,,,,,,,,,,,
WB 4Ps Transactions Study,World Bank,Grant Proposal,WB 4Ps Transaction Accounts Study,,9/19/2022,0,1,Philippines,0.0,Allocation,9/19/2022,,,,,,,,,,,,,
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Advancing Evidenced-Based Livelihoods Programs,,5/11/2022,1,1,,0.0,Allocation,8/17/2022,,,,,,,,,,,,,
BMG-20-10005 Evaluating New Deployments of L1P-aligned Payments Systems,Gates Foundation,Grant Award,QR Payments by micro and small merchants in Pakistan,Kashif Zaheer Malik,8/14/2020,1,1,,0.0,External Subaward,11/5/2020,Farah Said,,,,,,,,,,,,
BMG-20-10005 Evaluating New Deployments of L1P-aligned Payments Systems,Gates Foundation,Grant Award,The Impacts of Fast Retail Payments on Financial Institutions and Innovation,,8/14/2020,1,1,,0.0,Allocation,11/5/2020,Tiffany Tsai,,,,,,,,,,,,
DAI Baseline Data Collection,,Grant Proposal,RESTORE,,8/19/2022,0,1,Ghana,0.0,Allocation,8/22/2022,,,,,,,,,,,,,
Strengthening inclusion and agency through parental engagement in schools,The Agency Fund,Grant Proposal,Strengthening inclusion and agency through parental engagement in schools,Shelby Carvalho,8/15/2022,0,1,Kenya,0.0,Allocation,8/15/2022,,,,,,,,,,,,,
HAR-22-10012: Harvard Labor and Worklife Program (Ivory Coast),Harvard University,Grant Award,EDUC+ Follow-up Data Collection in Côte d'Ivoire,Martina Viarengo,8/30/2022,1,1,Francophone West Africa,0.0,Allocation,11/4/2022,,,,,,,,,,,,,
Coppel CAS Course Process Evaluation,Fundación Coppel,Grant Proposal,Coppel CAS Course Process Evaluation,,8/17/2022,0,1,Mexico,0.0,Allocation,8/17/2022,,,,,,,,,,,,,
OSF-19-10002 Peace & Recovery Competitive Fund on Homicide in Latin America,Open Society Foundations,Grant Award,Countering Prejudice and Discrimination,Natan Skigin,11/15/2018,1,1,Mexico,0.0,Internal Subaward,7/11/2019,,,,,,,,,,,,,
WBK-22-20160: WBK 1281953 / Class observations using TEACH methodology (Ivory Coast),World Bank,Grant Award,Improving teachers practices in classroom,,10/3/2022,1,1,Francophone West Africa,0.0,Allocation,12/20/2022,,,,,,,,,,,,,
"CNHF-22-10004: Dual Generation Policy and Research Initiative (Uganda,Colombia)",Conrad N. Hilton Foundation,Grant Award,Time Use Survey UG,Sarah Kabay,10/3/2022,1,1,Uganda,0.0,Allocation,12/5/2022,,,,,,,,,,,,,
YAL-24-10003 Yale_Impact evaluation of the Rwanda's export growth fund,Yale University,Grant Award,Impact evaluation for the export growth fund (EGF),Lauren Falcao Bergquist,1/5/2024,1,1,Rwanda,0.0,Allocation,1/5/2024,Ignacio Marra Artinano,Jie Bai,Christian Lippitsch,,,,,,,,,,
WBK-23-20165: Impact Evaluation of EBM for all_large survey (Rwanda),World Bank,Grant Award,Impact evaluation for EBM for all,Lucas Zavala,7/28/2023,1,1,Rwanda,0.0,Allocation,9/25/2023,Kieran Byrne,,,,,,,,,,,,
CNHF-22-10003 Hilton - Venezuelan migration initiative (Colombia),Conrad N. Hilton Foundation,Grant Award,FUDELA - ADN project,,6/24/2022,1,1,Colombia,0.0,Allocation,6/24/2022,,,,,,,,,,,,,
IRC-24-10007: IRC ReBuild Wave 2 RCT Survey with Urban Refugees - Kenya and Uganda,International Rescue Committee (IRC),Grant Award,IRC ReBuild Wave 2 RCT survey - Kenya,,7/13/2023,1,1,Kenya,0.0,Allocation,5/29/2024,,,,,,,,,,,,,
EHA-23-10013: An LLM Tool to support frontline health workers in low-resource settings (Nigeria),EHA Clinics Limited,Grant Award,An LLM Tool to support frontline health workers in low-resource settings,,7/3/2023,1,1,Nigeria,0.0,Allocation,10/1/2023,,,,,,,,,,,,,
IRC-24-10007: IRC ReBuild Wave 2 RCT Survey with Urban Refugees - Kenya and Uganda,International Rescue Committee (IRC),Grant Award,IRC ReBuild Wave 2 RCT survey - Uganda,Adam Lichtenheld,7/13/2023,1,1,Uganda,0.0,Allocation,5/29/2024,Sigrid Weber,Jessica Sadye Wolff,,,,,,,,,,,
CGD-24-10002: CGD for Long-term follow-up to early grade interventions,Center for Global Development,Grant Award,Long-Term Returns to Human Capital Investments (Liberia),,6/6/2023,1,1,Sierra Leone,0.0,Allocation,1/22/2024,,,,,,,,,,,,,
BMG-20-10005 Evaluating New Deployments of L1P-aligned Payments Systems,Gates Foundation,Grant Award,BMG-20-10005-X6_Evaluating New Deployments of L1P-Aligned Payment Systems 2022-2,,8/14/2020,1,1,Philippines,0.0,External Subaward,11/5/2020,,,,,,,,,,,,,
SCI-22-10010: BHA IMPEL for RFSA Mozambique (Kenya Office),Save the Children International (SCI),Grant Award,RFSA in Mozambique,Lasse Brune,9/22/2022,1,1,,0.0,Allocation,9/22/2022,Doug Parkerson,Emily Beam,Craig McIntosh,,,,,,,,,,
ThinkMD-23-10001: ThinkMD (USAID DIV) - Tech Health Diagnosis and Treatment (Nigeria),ThinkMD,Grant Award,ThinkMD (USAID DIV) - Nigeria,Barry Finette,5/31/2022,1,1,Nigeria,0.0,Allocation,5/4/2023,,,,,,,,,,,,,
WBK-22-20157: Teacher in Peru Concurso acceso 2022 (Peru),World Bank,Grant Award,"Reminder for teacher ""Concurso de acceso 2022"" in Peru",Ciro Avitabile,8/12/2022,1,1,Peru,0.0,Allocation,10/27/2022,,,,,,,,,,,,,
IDB-22-10048: Venezuelan migrant regularization (Peru),Inter-American Development Bank (IDB),Grant Award,Venezuelan migrant regularization in Peru,Cynthia van der Werf,8/1/2022,1,1,Peru,0.0,Allocation,9/29/2022,,,,,,,,,,,,,
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,Living Good CHW Program Evaluation,,5/15/2018,1,1,Francophone West Africa,0.0,Allocation,7/26/2018,,,,,,,,,,,,,
DA-22-10001: Agriboost Butuan (Philippines),Delivery Associates,Grant Award,Agriboost Butuan,,8/1/2022,1,1,Philippines,0.0,Allocation,12/12/2022,,,,,,,,,,,,,
CIF-23-10001: One Acre Fund Evaluation Advisory (Kenya),Children's Investment Fund Foundation (CIFF),Grant Award,One Acre Fund Evaluation Advisory,,8/5/2022,1,1,Kenya,0.0,Allocation,1/25/2023,,,,,,,,,,,,,
IDB-22-10052 Mining LAC Colombia B (Peru Office),Inter-American Development Bank (IDB),Grant Award,Mining LAC Colombia,Lina Díaz,8/17/2022,1,1,Colombia,0.0,Allocation,8/17/2022,,,,,,,,,,,,,
BMG-23-10010: Tanzania Affordable Digital Finance Research Initiative (TADFRI),Gates Foundation,Grant Award,DFS Pricing Analysis in Tanzania,Philip Roessler,3/31/2023,1,1,Tanzania,0.0,Allocation,5/23/2023,Xavier Gine,Francis Annan,Jonathan Green,,,,,,,,,,
MIT-23-20093: Increasing Compliance in Contract Farming in Burkina Faso,Massachusetts Institute of Technology (MIT),Grant Award,Contract Farming,,9/30/2022,1,1,Francophone West Africa,0.0,Allocation,2/10/2023,,,,,,,,,,,,,
NWU-22-10022 - Northwestern 2022-2023 GPRL ASOS (Global),Northwestern University,Grant Award,Policy Department,,8/7/2022,1,1,,0.0,Allocation,9/29/2022,,,,,,,,,,,,,
IDB-19-10005: Review of the evidence on Policing in LAC,Inter-American Development Bank (IDB),Grant Award,Peace & Recovery (P&R) Department,,5/3/2019,1,1,,0.0,Allocation,8/26/2019,,,,,,,,,,,,,
NWU-22-10022 - Northwestern 2022-2023 GPRL ASOS (Global),Northwestern University,Grant Award,Research Methods Department,,8/7/2022,1,1,,0.0,Allocation,9/29/2022,Steve Glazerman,,,,,,,,,,,,
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Project Development Department,,5/11/2022,1,1,,0.0,Allocation,8/17/2022,,,,,,,,,,,,,
NWU-22-10022 - Northwestern 2022-2023 GPRL ASOS (Global),Northwestern University,Grant Award,Communications Department,,8/7/2022,1,1,,0.0,Allocation,9/29/2022,,,,,,,,,,,,,
NWU-22-10022 - Northwestern 2022-2023 GPRL ASOS (Global),Northwestern University,Grant Award,Global Research & Data Support (GRDS) Department,,8/7/2022,1,1,,0.0,Allocation,9/29/2022,,,,,,,,,,,,,
LEGO-22-10007: LEGO Embedded Labs,LEGO Foundation,Grant Award,Sierra Leone MOE Embedded Lab,,6/8/2022,1,1,Sierra Leone,0.0,Allocation,10/27/2022,,,,,,,,,,,,,
CNHF-22-10003 Hilton - Venezuelan migration initiative (Colombia),Conrad N. Hilton Foundation,Grant Award,Measuring the Impact of Empleate sin Fronteras (Empleate),Ana Maria Diaz Escobar,6/24/2022,1,1,Colombia,0.0,Allocation,6/24/2022,,,,,,,,,,,,,
